trade_date,daily_total_pnl,daily_avg_pnl,daily_trade_count,date,fg_value_median
2023-12-05,0.0,0.0,9,2023-12-05,61.5
2023-12-14,-205.43473700000007,-18.675885181818188,11,2023-12-14,70.0
2023-12-15,-24.632033999999997,-12.316016999999999,2,2023-12-15,67.0
2023-12-16,0.0,0.0,3,2023-12-16,73.0
2023-12-17,304.982785,21.78448464285714,14,2023-12-17,65.0
2023-12-18,0.0,0.0,2,2023-12-18,73.0
2023-12-19,1000.5386120000001,66.70257413333334,15,2023-12-19,74.0
2023-12-20,162.732282,9.040682333333333,18,2023-12-20,70.0
2023-12-21,537.211402,10.963498000000001,49,2023-12-21,74.0
2023-12-22,141.832675,14.1832675,10,2023-12-22,70.0
2023-12-23,146.936704,11.302823384615383,13,2023-12-23,71.0
2023-12-24,1008.619956,25.862050153846155,39,2023-12-24,73.0
2023-12-25,-245.081348,-81.69378266666666,3,2023-12-25,71.0
2023-12-27,-704.8892269999999,-25.174615249999995,28,2023-12-27,73.0
2023-12-28,-970.730876,-42.20569026086957,23,2023-12-28,65.0
2023-12-29,508.92214299999995,10.178442859999999,50,2023-12-29,68.0
2023-12-30,354.998648,6.826897076923077,52,2023-12-30,67.0
2024-01-01,-129.53146,-7.196192222222223,18,2024-01-01,65.0
2024-01-02,783.979116,46.11641858823529,17,2024-01-02,71.0
2024-01-03,866.015507,12.925604582089552,67,2024-01-03,70.0
2024-01-04,-67.60364,-13.520728,5,2024-01-04,68.0
2024-01-05,164.141565,2.486993409090909,66,2024-01-05,72.0
2024-01-06,135.58166400000002,6.16280290909091,22,2024-01-06,70.0
2024-01-07,-835.681235,-8.615270463917525,97,2024-01-07,71.0
2024-01-08,-269.874439,-2.1083940546875,128,2024-01-08,71.0
2024-01-09,-826.349863,-11.804998042857143,70,2024-01-09,76.0
2024-01-10,-1517.091342,-7.860576901554404,193,2024-01-10,73.0
2024-01-11,-164.08950099999998,-8.636289526315789,19,2024-01-11,76.0
2024-01-12,-1925.519024,-275.0741462857143,7,2024-01-12,71.0
2024-01-15,0.0,0.0,5,2024-01-15,64.0
2024-01-16,939.6285419999999,313.20951399999996,3,2024-01-16,60.0
2024-01-17,813.2741110000001,15.344794547169812,53,2024-01-17,63.0
2024-01-18,68.93319,1.4985476086956522,46,2024-01-18,51.0
2024-01-19,-385.419235,-8.029567395833334,48,2024-01-19,52.0
2024-01-20,-146.57487000000003,-1.3827817924528305,106,2024-01-20,56.0
2024-01-21,266.58114600000005,24.234649636363642,11,2024-01-21,55.0
2024-01-22,1375.640959,16.18401128235294,85,2024-01-22,50.0
2024-01-23,-369.2447299999998,-8.20543844444444,45,2024-01-23,48.0
2024-01-24,-2808.353815,-41.29932080882353,68,2024-01-24,52.0
2024-01-25,-3093.6293849999997,-515.6048975,6,2024-01-25,49.0
2024-01-26,90.2,18.04,5,2024-01-26,55.0
2024-01-29,486.562542,6.5751694864864865,74,2024-01-29,61.0
2024-01-30,-173.65419100000003,-3.5439630816326537,49,2024-01-30,60.0
2024-01-31,-799.840817,-0.93113017112922,859,,
2024-02-01,0.0,0.0,6,2024-02-01,63.0
2024-02-02,456.423473,10.867225547619048,42,2024-02-02,63.0
2024-02-03,223.30918699999998,3.9876640535714283,56,2024-02-03,60.0
2024-02-04,47.62389499999999,1.360682714285714,35,2024-02-04,60.0
2024-02-05,-33.45419400000003,-0.4646415833333337,72,2024-02-05,60.0
2024-02-06,-215.615907,-0.19817638511029412,1088,2024-02-06,64.0
2024-02-07,241.24212,16.082808,15,2024-02-07,62.0
2024-02-08,770.756024,77.07560240000001,10,2024-02-08,66.0
2024-02-11,983.443176,28.924799294117648,34,2024-02-11,71.0
2024-02-12,913.8817869999998,57.11761168749999,16,2024-02-12,70.0
2024-02-13,559.44389,39.960277857142856,14,2024-02-13,74.0
2024-02-14,3830.599833,34.509908405405405,111,2024-02-14,72.0
2024-02-15,1840.797677,29.219010746031746,63,2024-02-15,72.0
2024-02-16,5491.768834,30.174554032967034,182,2024-02-16,76.0
2024-02-17,1929.6418,20.52810425531915,94,2024-02-17,72.0
2024-02-18,477.6248299999999,4.923967319587628,97,2024-02-18,75.0
2024-02-19,4317.768563,42.750183792079206,101,2024-02-19,72.0
2024-02-20,3263.628824,83.68279035897436,39,2024-02-20,78.0
2024-02-21,1858.7985700000002,84.49084409090909,22,2024-02-21,74.0
2024-02-22,3894.1050699999996,44.25119397727272,88,2024-02-22,76.0
2024-02-23,1418.55293,9.91995055944056,143,2024-02-23,72.0
2024-02-25,-30.7705,-6.1541,5,2024-02-25,72.0
2024-02-26,4416.8473,113.25249487179488,39,2024-02-26,79.0
2024-02-27,888.511733,14.103360841269842,63,2024-02-27,82.0
2024-02-28,2503.747235,55.63882744444444,45,2024-02-28,80.0
2024-02-29,9813.996992,84.60342234482759,116,,
2024-03-01,8244.241409,60.176944591240876,137,2024-03-01,80.0
